Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
Invitae,Assertion criteria,392880,392877,12724,"Feb 06, 2020",500031,United States,USA
Illumina Clinical Services Laboratory; Illumina,Assertion criteria,208171,208171,2299,"Jul 16, 2020",504895,United States,USA
GeneDx,Assertion criteria,121894,121760,26670,"Sep 10, 2020",26957,United States,USA
Ambry Genetics,Assertion criteria,70620,70620,1339,"Jul 28, 2020",61756,United States,USA
EGL Genetic Diagnostics; Eurofins Clinical Diagnostics,Assertion criteria,45028,45028,2406,"Sep 19, 2018",500060,United States,USA
Color,Assertion criteria,43495,43495,84,"May 19, 2020",505849,United States,USA
OMIM; Johns Hopkins University,-,31673,31673,5183,"Sep 17, 2020",3,United States,USA
Laboratory for Molecular Medicine; Partners HealthCare Personalized Medicine,Assertion criteria,24235,24161,1747,"Jun 03, 2020",21766,United States,USA
Counsyl,Assertion criteria,20976,20976,346,"Aug 05, 2019",320494,United States,USA
CeGaT Praxis fuer Humangenetik Tuebingen,Assertion criteria,20219,20219,6295,"Aug 26, 2020",505870,Germany,DEU
PreventionGenetics,Assertion criteria,18417,18417,1562,"Mar 06, 2020",239772,United States,USA
Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics; Cincinnati Children's Hospital Medical Center,Assertion criteria,17788,17788,19598,"Apr 27, 2020",1237,United States,USA
Integrated Genetics/Laboratory Corporation of America; Laboratory Corporation of America,Assertion criteria,17392,17367,797,"Sep 09, 2020",500026,United States,USA
Genetic Services Laboratory; University of Chicago,Assertion criteria,15336,15336,1256,"Mar 06, 2020",1238,United States,USA
Athena Diagnostics Inc,Assertion criteria,13050,13050,797,"Sep 25, 2019",1012,United States,USA
Quest Diagnostics Nichols Institute San Juan Capistrano,Assertion criteria,11943,11943,15621,"Mar 06, 2020",500110,Argentina,ARG
"ARUP Laboratories, Molecular Genetics and Genomics; ARUP Laboratories",Assertion criteria,10387,10387,940,"Jul 20, 2020",25969,United States,USA
Mendelics,Assertion criteria,9265,9265,1772,"Sep 16, 2020",500035,Brazil,BRA
Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA); c/o QIMR Berghofer Medical Research Institute,Expert panel,7456,7455,9,"Aug 19, 2019",504863,Australia,AUS
ISCA site 1,-,7274,7274,31864,"Feb 04, 2019",505237,United States,USA
Database of Curated Mutations; Washington University in St Louis,-,6947,6878,132,"Jul 18, 2016",505871,United States,USA
GeneReviews,-,6234,6233,1636,"Jul 15, 2020",500062,United States,USA
Blueprint Genetics,Assertion criteria,5275,5275,705,"Aug 06, 2020",500188,Finland,FIN
Fulgent Genetics,Assertion criteria,4918,4918,1293,"Jul 27, 2020",500105,United States,USA
Centre for Mendelian Genomics; University Medical Centre Ljubljana,Assertion criteria,4746,4745,2994,"Aug 28, 2020",505952,Slovenia,SVN
ISCA site 19,-,4457,4457,,"Mar 31, 2019",505431,United States,USA
"Lineagen, Inc",-,4443,4443,13037,"Nov 14, 2018",500040,United States,USA
Center for Pediatric Genomic Medicine; Children's Mercy Hospital and Clinics,Assertion criteria,3956,3956,1648,"Apr 27, 2020",505698,United States,USA
Brotman Baty Institute; University of Washington,-,3893,0,1,"Nov 12, 2018",506636,United States,USA
CHEO Genetics Diagnostic Laboratory; Children's Hospital of Eastern Ontario,Assertion criteria,3721,3721,85,"Mar 03, 2020",1050,Canada,CAN
"Wong Mito Lab, Molecular and Human Genetics; Baylor College of Medicine",Assertion criteria,3555,3555,45,"Apr 19, 2020",506302,United States,USA
Mayo Clinic Genetic Testing Laboratories; Mayo CLinic,Assertion criteria,3475,3475,626,"Feb 25, 2020",500068,United States,USA
Consortium of Investigators of Modifiers of BRCA1/2 (CIMBA); c/o University of Cambridge,Assertion criteria,3324,3324,9,"Oct 28, 2016",505954,United Kingdom,GBR
ISCA site 4,Assertion criteria,2979,2979,25641,"Feb 08, 2019",505240,United States,USA
Inova Translational Medicine Institute,Assertion criteria,2701,13,189,"Nov 01, 2018",504914,United States,USA
Baylor Genetics,Assertion criteria,2646,2646,6370,"Aug 20, 2020",1006,United States,USA
ISCA site 6,Assertion criteria,2555,2555,17584,"Feb 08, 2019",505242,United States,USA
Genomic Research Center; Shahid Beheshti University of Medical Sciences,Assertion criteria,2485,2456,1319,"Jun 24, 2020",504864,"Iran, Islamic Republic of",IRN
Clinical Pharmacogenetics Implementation Consortium; St. Jude Children's Research Hospital and Stanford University,Practice guideline,2469,2469,2,"Mar 01, 2018",505961,United States,USA
Sharing Clinical Reports Project,-,2358,2357,2,"Dec 29, 2015",500037,United States,USA
Biesecker Lab/Clinical Genomics Section; National Institutes of Health,Assertion criteria,2243,2243,122,"Feb 24, 2020",1160,United States,USA
NIHR Bioresource Rare Diseases; University of Cambridge,Assertion criteria,2001,2001,1012,"Aug 26, 2020",505998,United Kingdom,GBR
