Gene,Submissions,Last Updated,submitters_id
HOXB13,762,"Sep 10, 2019",507187
SPOP,160,"Oct 7, 2019",507187
ARSA,10,"Nov 18, 2019",505907
ARSB,8,"Oct 25, 2017",505907
FKBP10,13,"Apr 2, 2019",505907
GAA,2,"Oct 17, 2019",505907
LHCGR,1,"Apr 23, 2019",505907
LOC111811965,1,"Oct 24, 2019",505907
LPCAT2,1,"Apr 19, 2019",505907
MECP2,6,"Feb 17, 2019",505907
NF1,8,"Oct 24, 2019",505907
NPC1,2,"Mar 6, 2020",505907
SERPINF1,13,"Apr 2, 2019",505907
STON1-GTF2A1L,1,"Apr 23, 2019",505907
XPA,3,"Apr 16, 2020",505907
XPC,9,"Apr 16, 2020",505907
ALK,10,"May 6, 2020",507518
CDKN2A,6,"May 6, 2020",507518
DDR2,8,"May 6, 2020",507518
EGFR,1,"May 6, 2020",507518
EGFR-AS1,1,"May 6, 2020",507518
FGFR2,2,"May 6, 2020",507518
FGFR3,4,"May 6, 2020",507518
H3C2,3,"May 6, 2020",507518
HRAS,5,"May 6, 2020",507518
KIT,2,"May 6, 2020",507518
KRAS,1,"May 6, 2020",507518
LRRC56,5,"May 6, 2020",507518
MAP2K1,1,"May 6, 2020",507518
MET,1,"May 6, 2020",507518
PDGFRA,2,"May 6, 2020",507518
PIK3CA,4,"May 6, 2020",507518
PTEN,1,"May 6, 2020",507518
STK11,7,"May 6, 2020",507518
MMUT,26,"Feb 25, 2014",504820
GATA4,5,"Jul 8, 2014",505100
HAND2,1,"Jul 8, 2014",505100
HAND2-AS1,1,"Jul 8, 2014",505100
TBX5,2,"Jul 8, 2014",505100
BRCA1,1,"Apr 7, 2014",505170
BRCA2,5,"Oct 28, 2014",505170
F8,2,"Nov 3, 2016",505981
FANCA,4,"Mar 30, 2017",505981
COL11A2,1,"Nov 25, 2014",505289
DCDC2,1,"Oct 24, 2014",505289
MYO7A,1,"Oct 28, 2015",505289
PCDH15,1,"Oct 28, 2015",505289
USH1C,1,"Oct 28, 2015",505289
GBA,5,"Oct 5, 2015",505532
LOC106627981,5,"Oct 5, 2015",505532
FGA,1,"Dec 13, 2019",507300
FGB,2,"Dec 13, 2019",507300
FGG,1,"Dec 20, 2019",507300
TF,1,"Nov 27, 2019",507300
DHH,2,"Sep 14, 2018",506705
WDR73,2,"Jun 26, 2019",506705
BRCA1,1,"Jul 27, 2018",505877
CLDN16,1,"Oct 21, 2019",505877
CNNM4,1,"Aug 4, 2016",505877
METTL23,1,"Feb 13, 2020",505877
GJB2,4,"Apr 14, 2016",505757
ARG1,1,"Jun 5, 2020",507301
DARS2,1,"Nov 22, 2019",507301
HERC2,1,"May 4, 2020",507301
MED23,1,"Jun 5, 2020",507301
PRUNE1,1,"Jun 6, 2020",507301
CYP1B1,3,"Jul 12, 2010",500264
GNPTAB,1,"Feb 1, 2019",506873
GNPTG,2,"Jun 12, 2020",506873
KIZ,1,"Feb 21, 2020",507244
RRM2B,1,"Aug 17, 2020",507244
IDS,2,"Apr 24, 2020",507525
LOC106050102,1,"Apr 24, 2020",507525
ALX4,1,"Jun 21, 2015",505774
TBX5,1,"Oct 18, 2016",505774
FAM20A,1,"May 17, 2020",507430
PRKAR1A,1,"May 17, 2020",507430
VPS13A,1,"Feb 13, 2020",506564
SCN1A,1,"Sep 5, 2017",506311
WAS,1,"May 4, 2020",507559
MPV17,1,"Jun 17, 2016",505808
CYP11B1,1,"Apr 28, 2020",507451
LOC106799833,1,"Apr 28, 2020",507451
BRCA2,1,"Dec 23, 2019",507359
