alpha_3,continent
AND,Europe
ARE,Asia
AFG,Asia
ATG,North America
AIA,North America
ALB,Europe
ARM,Asia
ANT,North America
AGO,Africa
ATA,Antarctica
ARG,South America
ASM,Oceania
AUT,Europe
AUS,Oceania
ABW,North America
ALA,Europe
AZE,Asia
BIH,Europe
BRB,North America
BGD,Asia
BEL,Europe
BFA,Africa
BGR,Europe
BHR,Asia
BDI,Africa
BEN,Africa
BLM,North America
BMU,North America
BRN,Asia
BOL,South America
BES,North America
BRA,South America
BHS,North America
BTN,Asia
BVT,Antarctica
BWA,Africa
BLR,Europe
BLZ,North America
CAN,North America
CCK,Asia
COD,Africa
CAF,Africa
COG,Africa
CHE,Europe
CIV,Africa
COK,Oceania
CHL,South America
CMR,Africa
CHN,Asia
COL,South America
CRI,North America
SCG,Europe
CUB,North America
CPV,Africa
CUW,North America
CXR,Oceania
CYP,Europe
CZE,Europe
DEU,Europe
DJI,Africa
DNK,Europe
DMA,North America
DOM,North America
DZA,Africa
ECU,South America
EST,Europe
EGY,Africa
ESH,Africa
ERI,Africa
ESP,Europe
ETH,Africa
FIN,Europe
FJI,Oceania
FLK,South America
FSM,Oceania
FRO,Europe
FRA,Europe
GAB,Africa
GBR,Europe
GRD,North America
GEO,Asia
GUF,South America
GGY,Europe
GHA,Africa
GIB,Europe
GRL,North America
GMB,Africa
GIN,Africa
GLP,North America
GNQ,Africa
GRC,Europe
SGS,Antarctica
GTM,North America
GUM,Oceania
GNB,Africa
GUY,South America
HKG,Asia
HMD,Antarctica
HND,North America
HRV,Europe
HTI,North America
HUN,Europe
IDN,Asia
IRL,Europe
ISR,Asia
IMN,Europe
IND,Asia
IOT,Asia
IRQ,Asia
IRN,Asia
ISL,Europe
ITA,Europe
JEY,Europe
JAM,North America
JOR,Asia
JPN,Asia
KEN,Africa
KGZ,Asia
KHM,Asia
KIR,Oceania
COM,Africa
KNA,North America
PRK,Asia
KOR,Asia
KWT,Asia
CYM,North America
KAZ,Asia
LAO,Asia
LBN,Asia
LCA,North America
LIE,Europe
LKA,Asia
LBR,Africa
LSO,Africa
LTU,Europe
LUX,Europe
LVA,Europe
LBY,Africa
MAR,Africa
MCO,Europe
MDA,Europe
MNE,Europe
MAF,North America
MDG,Africa
MHL,Oceania
MKD,Europe
MLI,Africa
MMR,Asia
MNG,Asia
MAC,Asia
MNP,Oceania
MTQ,North America
MRT,Africa
MSR,North America
MLT,Europe
MUS,Africa
MDV,Asia
MWI,Africa
MEX,North America
MYS,Asia
MOZ,Africa
NAM,Africa
NCL,Oceania
NER,Africa
NFK,Oceania
NGA,Africa
NIC,North America
NLD,Europe
NOR,Europe
NPL,Asia
NRU,Oceania
NIU,Oceania
NZL,Oceania
OMN,Asia
PAN,North America
PER,South America
PYF,Oceania
PNG,Oceania
PHL,Asia
PAK,Asia
POL,Europe
SPM,North America
PCN,Oceania
PRI,North America
PSE,Asia
PRT,Europe
PLW,Oceania
PRY,South America
QAT,Asia
REU,Africa
ROU,Europe
SRB,Europe
RUS,Europe
RWA,Africa
SAU,Asia
SLB,Oceania
SYC,Africa
SDN,Africa
SWE,Europe
SGP,Asia
SHN,Africa
SVN,Europe
SJM,Europe
SVK,Europe
SLE,Africa
SMR,Europe
SEN,Africa
SOM,Africa
SUR,South America
SSD,Africa
STP,Africa
SLV,North America
SXM,North America
SYR,Asia
SWZ,Africa
TCA,North America
TCD,Africa
ATF,Antarctica
TGO,Africa
THA,Asia
TJK,Asia
TKL,Oceania
TLS,Oceania
TKM,Asia
TUN,Africa
TON,Oceania
TUR,Asia
TTO,North America
TUV,Oceania
TWN,Asia
TZA,Africa
UKR,Europe
UGA,Africa
UMI,Oceania
USA,North America
URY,South America
UZB,Asia
VAT,Europe
VCT,North America
VEN,South America
VGB,North America
VIR,North America
VNM,Asia
VUT,Oceania
WLF,Oceania
WSM,Oceania
XKX,Europe
YEM,Asia
MYT,Africa
ZAF,Africa
ZMB,Africa
ZWE,Africa
