submitters_id,alpha_3
504863,AUS
505698,USA
505304,BEL
505765,KOR
505696,CHE
505483,FRA
505793,AUS
504869,CHN
505841,DEU
505460,RUS
504839,CZE
505344,USA
505718,USA
505664,USA
505442,USA
505878,AUS
505205,AUS
504856,FRA
505777,CAN
505264,GBR
505590,FRA
506078,ESP
505685,GBR
505575,MEX
505543,TUR
505515,USA
505699,POL
505556,DEU
505395,SWE
505218,CAN
506647,FRA
505768,FRA
504935,USA
505366,USA
505507,USA
505299,VEN
505473,SWE
505313,CAN
505566,JPN
505706,FRA
507176,USA
506177,USA
505840,AUT
504860,FRA
506625,VNM
505440,USA
505391,PAK
505307,DEU
505325,USA
505465,ITA
505263,FRA
505495,CAN
505621,FRA
505637,GBR
505414,USA
507653,VNM
506687,USA
505454,JPN
505392,USA
506178,USA
505988,ITA
505683,ITA
505471,USA
505498,USA
505300,ESP
505510,NLD
505197,IND
505234,FRA
505383,DEU
505506,SWE
505626,USA
505362,NLD
505535,USA
505425,FRA
505585,DNK
505256,CHN
505390,FRA
505624,DEU
505491,IRN
505519,ESP
505540,ESP
505396,ESP
505674,HUN
505707,DEU
505799,JPN
500282,ITA
505921,CHN
505275,USA
505541,USA
506374,BEL
507442,VNM
506771,USA
506196,FIN
504936,USA
